rgn_id,habitat,year,area_km2
10101,Bentonico,2023,0.0
10102,Bentonico,2017,0.0
10102,Bentonico,2018,0.0
10102,Bentonico,2019,0.0
10102,Bentonico,2020,0.0
10102,Bentonico,2021,0.0
10102,Bentonico,2022,0.0
10102,Bentonico,2023,0.0
10103,Bentonico,2017,0.0
10103,Bentonico,2018,0.0
10103,Bentonico,2019,0.0
10103,Bentonico,2020,0.0
10103,Bentonico,2021,0.0
10103,Bentonico,2022,0.0
10103,Bentonico,2023,0.0
10108,Bentonico,2017,0.0
10108,Bentonico,2018,0.0
10108,Bentonico,2019,0.0
10108,Bentonico,2020,0.0
10108,Bentonico,2021,0.0
10108,Bentonico,2022,0.0
10108,Bentonico,2023,0.0
10109,Bentonico,2017,0.0
10109,Bentonico,2018,0.0
10109,Bentonico,2019,0.0
10109,Bentonico,2020,0.0
10109,Bentonico,2021,0.0
10109,Bentonico,2022,0.0
10109,Bentonico,2023,0.0
10201,Bentonico,2017,0.0
10201,Bentonico,2018,0.0
10201,Bentonico,2019,0.0
10201,Bentonico,2020,0.0
10201,Bentonico,2021,0.0
10201,Bentonico,2022,0.0
10201,Bentonico,2023,0.0
10202,Bentonico,2017,0.0
10202,Bentonico,2018,0.0
10202,Bentonico,2019,0.0
10202,Bentonico,2020,0.0
10202,Bentonico,2021,0.0
10202,Bentonico,2022,0.0
10202,Bentonico,2023,0.0
10203,Bentonico,2017,0.0
10203,Bentonico,2018,0.0
10203,Bentonico,2019,0.0
10203,Bentonico,2020,0.0
10203,Bentonico,2021,0.0
10203,Bentonico,2022,0.0
10203,Bentonico,2023,0.0
10204,Bentonico,2017,0.0
10204,Bentonico,2018,0.0
10204,Bentonico,2019,0.0
10204,Bentonico,2020,0.0
10204,Bentonico,2021,0.0
10204,Bentonico,2022,0.0
10204,Bentonico,2023,0.0
10205,Bentonico,2017,0.0
10205,Bentonico,2018,0.0
10205,Bentonico,2019,0.0
